Timestamp,Alert
2025-02-24T17:14:52.818438,High Temperature Alert: 35.6°C
2025-02-24T17:16:27.206931,High Temperature Alert: 35.6°C
2025-02-24T17:19:36.804577,High Temperature Alert: 35.6°C
2025-02-24T17:20:00.986289,High Temperature Alert: 35.6°C
2025-02-24T17:20:23.578889,High Temperature Alert: 35.6°C
2025-02-24T17:21:25.532008,High Temperature Alert: 35.6°C
2025-02-24T17:21:38.437886,High Temperature Alert: 35.6°C
2025-02-24T17:24:20.679713,Temperature Alert
2025-02-24T17:25:52.061627,Temperature Alert
2025-02-24T17:26:07.024161,Temperature Alert
2025-02-24T17:26:16.963569,Temperature Alert
2025-02-24T17:26:22.029032,Temperature Alert
2025-02-24T17:43:10.848148,Temperature Alert
2025-02-24T17:43:52.132339,Temperature Alert
2025-02-25T06:40:04.872179,Temperature Alert
